"","NOS.NS.1","NOS.NS.2","NOS.NS.3","NOS.LA.1","NOS.LA.2","NOS.LA.3","S.NS.1","S.NS.2","S.NS.3","S.LA.1","S.LA.2","S.LA.3"
"206797_at",4.17265157540907,4.50180327392828,4.37328188518133,4.01049232441701,4.08748080376982,4.95920447799532,4.5449238952805,4.09958240268793,4.6139984459196,3.95841478371315,4.26379690388014,4.83035401299835
"222880_at",4.98178228127929,3.97707693931422,4.11506579497435,4.41633073688752,4.35846341428674,3.39167175917428,4.60363511289213,3.77673158949608,3.86572846561569,4.67564071645382,4.07930854044342,4.12491410650063
"222161_at",4.40382393120833,5.00937097075542,4.57611871129424,4.13841875624275,4.94043728977178,3.99851363211119,4.48949572233766,4.15719576563452,3.97534601316841,4.64725527774049,3.87174046993042,3.92504057683011
"236514_at",5.41269933633636,6.21435205267623,6.60704854803629,5.79143369041295,6.06938604719557,5.70858895179927,5.85271732264112,6.36593717320484,6.27507754394457,5.86707890231595,5.9507298913748,6.37292150498628
"209027_s_at",9.20950171598482,8.85729313708613,9.06204507631867,9.19016105556033,9.13446133485922,8.5768771923484,9.52008756622702,8.72418394363958,8.74500566389785,9.67733826865905,9.34496891615861,8.73832363224645
"227647_at",6.15926294921964,6.08670932396373,5.87092794686287,5.84612981806864,6.23679036457093,5.56968134076223,5.96381848078025,5.40811420163551,6.10578909404513,5.91256955931705,5.59077536468912,5.72909144419531
"210458_s_at",6.4303988564577,4.67962999089366,5.88927830117331,5.67005626720438,5.33191399072967,4.0320215852775,6.3330222417907,5.1497690373456,4.51628484193792,6.29607812941914,5.86059488840611,5.05911624766064
"1557105_a_at",5.9879220726349,6.13821879605079,6.20531427957622,5.89642050213934,6.118835419975,6.2840481356043,5.80190396243429,5.59642530116414,6.36674335592895,5.66986874359347,5.68195682377415,6.29179097350497
"239153_at",3.2400118267543,3.40734305576755,3.26397126960738,2.90319942747811,2.70883435852458,3.02495497504665,3.19313567809019,3.45566877424802,3.13807619314599,2.72117048890751,2.60548006321252,3.04586027252787
"242350_s_at",2.89592938296574,3.2664243758497,3.13453740613275,2.99658658964262,3.19262925118348,3.523450934765,3.33940141375085,3.46189181876644,3.4117951959527,3.04598036815912,3.59404861177767,3.98978599985496
"244741_s_at",7.40501695732909,7.34179509167737,6.88280741366285,6.89917667372953,7.15483314655271,6.75327363231584,7.17567897399783,6.92178055769697,7.22861152184657,6.95169778106048,6.66083013713763,6.70429828208279
"239894_at",3.46508548994464,4.49516182826132,3.67283763234791,3.86443217830668,3.82963431161261,3.73325739951636,3.59885302754274,4.69634827192782,3.82216047506203,4.34789908755858,4.44360309561059,3.76403300168851
"215590_x_at",4.98791657086004,4.85243521628743,4.85331985930628,4.88068365284216,4.55911807777688,4.65604810732173,4.89660883402769,4.30479285898262,4.9323238930489,4.43030382891389,4.16893688548189,4.84839992230371
"232849_at",3.02096566994106,3.1594415566005,3.4099781777303,3.11865362264249,3.05775280617667,3.64398637602259,3.17797021821118,2.97598411028429,4.00659341834955,2.71409581472235,2.97145943657808,3.59803902907749
"1567035_at",4.63273342059414,4.99700872470361,5.30051114875779,4.87052969924002,4.88047965179418,5.17151189114711,5.0870626507006,4.53633082981975,5.3286274483832,4.70767908624447,4.68294420106448,5.53333496819845
"217087_at",8.15118440368862,9.44996055780516,8.35115856061374,8.52839628307221,8.6274617763975,8.09824101760682,8.97187877068607,9.02142399950364,8.00759911025857,7.49214491469466,7.67293067678539,7.40389154438638
"231979_at",4.20322121147002,5.03164761438028,4.38706875808845,4.58138598914712,4.94652216964672,4.05902111252139,4.93459564414033,4.6428450210861,4.31874553342337,4.93303631369358,4.27389117952163,4.30559448456673
"1556555_at",4.7938110482008,4.86365098497787,5.09997579091079,4.94168602519937,4.81215849210357,5.2183911935649,5.32142403374904,4.60497606739489,5.23889097737273,4.54234469503031,4.49376507155796,5.26800418693343
"242208_at",4.09270809011367,3.95665022206243,3.38394209747199,3.84394952907035,3.80653049502752,3.24483593432738,3.49221834169524,4.09958240268793,3.55633018233199,3.57124411883707,3.2714715004589,3.44438111756098
"216671_x_at",5.41878499516798,5.75460414691611,5.88457251952968,5.56050293705425,5.37514420596619,6.00807260669616,5.72573326176438,5.41871736514658,5.86591893457318,5.51728359908238,5.80184699746519,6.40022514198234
"243048_at",4.6715454057667,4.82240379372633,4.68128859765304,4.49181023741945,4.57413191765161,4.92954406263265,4.13498774139978,4.90689909889823,5.12249651451256,4.17201392806386,4.9597176053325,4.90996154176322
"243871_at",6.21784668259039,7.30172540741159,7.25850483856211,6.82309648790976,7.87658156441948,7.06414819549428,7.30854956232083,7.0731055751364,7.02162896650212,6.78057456047222,6.73856180386452,6.89581837818209
"239128_at",4.81175380108116,4.87684274743105,4.41702405094611,4.51950722261908,4.40949279603703,4.45031009493785,4.59597493608336,4.97389858015992,4.92839329877448,4.35956045192171,4.67449256813592,4.89226879934988
"1558782_a_at",4.27385977069379,4.32566768902416,4.61901085535483,3.76004183744245,4.40118043864028,4.79640157611631,3.98016280886512,4.10578071500589,4.63261379950092,4.73416328728424,4.10788957323545,4.63843988675411
"238214_at",5.97009735823136,5.21260403475024,5.63583161812129,6.22922728003884,5.29413242144259,5.53405952347667,4.97861879465695,5.89982985276569,5.54171433044018,5.28096263008418,4.91782903230353,5.51197175329845
"1555907_at",5.43856459944034,6.31836849175816,5.935471301183,5.6384314885891,6.12849376755189,6.01170156918313,6.15147747565969,6.07329279727761,5.86720067852071,5.66588472775162,6.24799130421381,5.69046297243978
"231497_at",3.32299678142808,3.66238724168564,3.94741590378468,3.50850515842491,3.31062466361827,4.53539823400827,3.46585433877142,3.30375103436418,3.94460751785522,3.42206411017177,3.84437546153119,4.41036254191839
"1564399_a_at",4.38137419300133,4.74866793297289,4.66471469785906,4.45397115170685,4.48792224997501,5.01814024167949,5.03671654052817,4.7250843303519,4.93424180865666,4.65074574843473,4.90426935561661,4.80680806187381
"238910_at",4.62671027572696,5.05086385284414,5.22822981553143,4.95475717728466,5.35247847283375,5.54960784769316,4.53522486241506,5.06163409466813,5.41772384695018,4.67564071645382,5.02423501530261,5.77969377788281
"234685_x_at",7.92769865325515,7.54936073128674,7.97528244875788,7.48499136216744,8.32817184285257,8.15959666204013,6.82425695557746,8.58024483380584,7.34145335210417,8.20111290409605,7.24561788262878,7.13204343232822
"216810_at",6.81039958734592,6.74781084896615,7.21080491365708,6.78146953919441,8.29716654220045,6.90351289354967,6.06066106468861,7.62300837155709,6.30410796343704,7.45287196211422,6.02090717600487,6.35909405135097
"232300_at",5.26752805103802,5.91154413455656,5.93781630637846,5.67975552201227,5.80784566522857,6.13898535629326,5.40387966156717,6.27451740345628,5.78461315050249,5.36560013185853,5.91855748034017,5.8289262513402
"208650_s_at",8.75978480624215,8.56078614138617,9.02175880695163,9.37374233747048,8.45215474566501,8.47669199613196,9.57419565682217,9.2523347843706,8.3430245585751,9.69870135750063,9.56599357556999,8.04586761645879
