"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1320_at","PTPN21","11099","protein tyrosine phosphatase non-receptor type 21",0.423384432623199,5.95493139851667,0.899118787735088,0.380831207893253,0.999725245748249,-4.59993600257204
"2","1431_at","CYP2E1","1571","cytochrome P450 family 2 subfamily E member 1",-0.0761172817318982,5.45773567521558,-0.162097735040181,0.873091367486183,0.999725245748249,-4.61837458399769
"3","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",0.138873163050118,8.79499124705399,0.339223577731037,0.738490165314755,0.999725245748249,-4.61620050887522
"4","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",-0.384863829321795,7.55041409659754,-0.799107811596955,0.43497232614571,0.999725245748249,-4.60380743967575
"5","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-0.511043403478098,6.14555412692237,-1.05160845347483,0.307327078402798,0.999725245748249,-4.59332246535699
"6","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2",0.0489640454437215,4.92750705150447,0.118972359962007,0.906656374420783,0.999725245748249,-4.61867303190856
"7","1552302_at","TMEM106A","113277","transmembrane protein 106A",-0.249032174096611,4.27283493793415,-0.489299498391812,0.630724276204737,0.999725245748249,-4.6131920179391
"8","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.0235263236101018,6.66873353919384,-0.0473517170754897,0.962770717380134,0.999725245748249,-4.61896672799744
"9","1552312_a_at","MFAP3","4238","microfibril associated protein 3",-0.942761178967461,5.05777202695416,-1.88999862581298,0.0754896304583252,0.999725245748249,-4.54556009262159
"10","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",-0.223891177427424,6.20858108113067,-0.57277320395091,0.574106323959222,0.999725245748249,-4.61107208408771
"11","1552319_a_at","KLK8","11202","kallikrein related peptidase 8",0.628639072550627,6.41802367154216,1.29230143830635,0.213107347418677,0.999725245748249,-4.5813327076425
"12","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.479182986492029,6.28824965761448,1.24885848505633,0.228214177733678,0.999725245748249,-4.5836240592155
"13","1552349_a_at","PRSS33","260429","serine protease 33",-0.101733996572385,3.52772254829511,-0.244563961842881,0.809647132402114,0.999725245748249,-4.61755097185593
"14","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33",-0.285926867676079,6.56408586208497,-0.669347805755954,0.512034720215438,0.999725245748249,-4.60823632461419
"15","1552395_at","TSSK3","81629","testis specific serine kinase 3",-0.285261691638682,6.54523180543142,-0.671558943162704,0.510659287505624,0.999725245748249,-4.60816670488705
"16","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",-0.725581350118384,4.14465467130778,-1.22913492454177,0.235341244600475,0.999725245748249,-4.58464683676849
"17","1552463_at","SERPINB11","89778","serpin family B member 11 (gene/pseudogene)",-0.888107701839566,3.41264968709412,-2.0460634988658,0.0561265722153175,0.999725245748249,-4.53532537238812
"18","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-0.432362561853612,5.85950108777615,-0.91395964399273,0.373196272676051,0.999725245748249,-4.59932911131852
"19","1552486_s_at","LACTB","114294","lactamase beta",-0.380838416697387,5.17891008321179,-0.748247270431024,0.464278679717553,0.999725245748249,-4.60562554570818
"20","1552502_s_at","RHBDL2","54933","rhomboid like 2",-0.0512866839845625,6.16238579061278,-0.10914880932474,0.914330012605781,0.999725245748249,-4.61872825285925
"21","1552504_a_at","BRSK1","84446","BR serine/threonine kinase 1",-0.051378921915278,6.03163338006375,-0.12541763303367,0.901626764433824,0.999725245748249,-4.61863422564385
"22","1552516_a_at","HIPK1","204851","homeodomain interacting protein kinase 1",-0.48418856108054,5.67466779916132,-0.769345385346214,0.451978756022646,0.999725245748249,-4.6048839893417
"23","1552519_at","ACVR1C","130399","activin A receptor type 1C",-0.406242739255269,5.57511083676639,-0.584793018442515,0.566173382522248,0.999725245748249,-4.61074125141994
"24","1552544_at","SERPINA12","145264","serpin family A member 12",0.81914563166705,9.25926783696758,1.80079969112904,0.0890457199877744,0.999725245748249,-4.55129041548125
"25","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C",-0.27085641263835,2.96366871221799,-0.653123636984606,0.522190939829666,0.999725245748249,-4.60874080724685
"26","1552553_a_at","NLRC4","58484","NLR family CARD domain containing 4",-0.376755722276263,3.54745215714263,-0.990415078569076,0.335508964779298,0.999725245748249,-4.59607522494584
"27","1552611_a_at","JAK1","3716","Janus kinase 1",-0.551882442529097,6.11871702333246,-1.01597564252794,0.323523690251836,0.999725245748249,-4.5949410528105
"28","1552613_s_at","CDC42SE2","56990","CDC42 small effector 2",-0.747955580421177,4.51923872171566,-1.70640546585539,0.105668130855258,0.999725245748249,-4.55723596581698
"29","1552616_a_at","ACACB","32","acetyl-CoA carboxylase beta",0.462327782692185,5.19933305808174,1.1939043663417,0.248496148523516,0.999725245748249,-4.58644565568002
"30","1552619_a_at","ANLN","54443","anillin actin binding protein",-0.515470362262074,5.76548427123348,-1.11522781623511,0.279878885820093,0.999725245748249,-4.59032741599052
"31","1552620_at","SPRR4","163778","small proline rich protein 4",0.878521283027917,11.3587867221061,1.28911755576135,0.214187206023711,0.999725245748249,-4.58150240593524
"32","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",-0.689495226817961,6.17499675643085,-1.47467146207808,0.158117330010299,0.999725245748249,-4.57118047071652
"33","1552627_a_at","ARHGAP5","394","Rho GTPase activating protein 5",-0.868229111122718,4.57031151981125,-1.14959741830417,0.265824884448426,0.999725245748249,-4.58865521765155
"34","1552632_a_at","ARSG","22901","arylsulfatase G",0.115873007572479,5.07254643784843,0.298871160004503,0.768568937381361,0.999725245748249,-4.61682871672688
"35","1552643_at","ZNF626","199777","zinc finger protein 626",-0.160822806719631,6.10063289976415,-0.386316508151462,0.703932930026914,0.999725245748249,-4.61536966617366
"36","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22",-0.705953434146622,4.94967141708696,-1.33061546481956,0.200445734767985,0.999725245748249,-4.57926926171091
"37","1552662_a_at","PCDHGB7","56099","protocadherin gamma subfamily B, 7",0.0349894398757797,4.46083766433221,0.0906497460041842,0.928803497649382,0.999725245748249,-4.61881936077866
"38","1552669_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B",-0.0959882020843197,3.34574243899603,-0.244041759407215,0.810045129366326,0.999725245748249,-4.61755722651507
"39","1552677_a_at","DIP2A","23181","disco interacting protein 2 homolog A",-0.209092004200219,4.55757940647212,-0.431400550334756,0.671460484938045,0.999725245748249,-4.61447674085908
"40","1552685_a_at","GRHL1","29841","grainyhead like transcription factor 1",-0.69750312603237,8.63606758050908,-1.3355321490853,0.198865018571271,0.999725245748249,-4.57900165990839
"41","1552689_at","CASKIN1","57524","CASK interacting protein 1",0.184691944030018,5.41565281371265,0.468405673077906,0.645293274132813,0.999725245748249,-4.6136733779686
"42","1552701_a_at","CARD16","114769","caspase recruitment domain family member 16",0.279336467410547,6.29500946276476,0.624270524338132,0.540527766327631,0.999725245748249,-4.60961016833702
"43","1552733_at","KLHDC1","122773","kelch domain containing 1",-0.321224976453267,6.92280602140067,-0.782263314111477,0.444547595195366,0.999725245748249,-4.60442108107841
"44","1552755_at","DOCK8-AS1","157983","DOCK8 antisense RNA 1",0.0650476950799987,3.96467137102563,0.15164839312801,0.881203990577197,0.999725245748249,-4.61845526542629
"45","1552767_a_at","HS6ST2","90161","heparan sulfate 6-O-sulfotransferase 2",-0.102942592598564,3.33864881667833,-0.253042727618322,0.803192604389107,0.999725245748249,-4.61744757278032
"46","1552775_at","GPRC6A","222545","G protein-coupled receptor class C group 6 member A",-0.408636485001892,4.01918465322232,-0.968872022116895,0.345849286621426,0.999725245748249,-4.59701333211043
"47","1552787_at","HELB","92797","DNA helicase B",-0.0590709353251806,3.10731296462507,-0.148667934420712,0.883520478494002,0.999725245748249,-4.61847729822378
"48","1552798_a_at","TLR4","7099","toll like receptor 4",-0.114021370233374,4.74907076383046,-0.224281579090777,0.825143677653976,0.999725245748249,-4.61778419908677
"49","1552836_at","ZNF619","285267","zinc finger protein 619",0.134456641744452,4.81812284889494,0.292648321545752,0.773242791469457,0.999725245748249,-4.61691867014605
"50","1552848_a_at","PTCHD1","139411","patched domain containing 1",0.00892222462060621,3.38992997089598,0.0213203746067257,0.983232027871133,0.999725245748249,-4.61901083571517
"51","1552870_s_at","AXDND1","126859","axonemal dynein light chain domain containing 1",0.288108900024026,4.81503356864698,0.588422467234031,0.563789279393518,0.999725245748249,-4.61064010520144
"52","1552914_a_at","CD276","80381","CD276 molecule",-0.047702644383544,4.19225208450033,-0.117269253413068,0.907986094231531,0.999725245748249,-4.6186829453251
"53","1552919_at","C4orf36","132989","chromosome 4 open reading frame 36",-0.306375427958818,3.33527852666222,-0.626987378251015,0.538786302406531,0.999725245748249,-4.60952983591799
"54","1552921_a_at","FIGNL1","63979","fidgetin like 1",-0.77664384981735,5.09344718933372,-1.71174160585291,0.10466145945349,0.999725245748249,-4.55690346887957
"55","1552927_at","TAB3","257397","TGF-beta activated kinase 1 (MAP3K7) binding protein 3",-0.180287332124188,3.19946137062825,-0.442977309020831,0.663225533587396,0.999725245748249,-4.61423220419746
"56","1552967_at","CBLL2","158506","Cbl proto-oncogene like 2",-0.0798246234260875,3.25323072403369,-0.183142139196503,0.856797901837766,0.999725245748249,-4.61819589083962
"57","1552978_a_at","SCAMP1","9522","secretory carrier membrane protein 1",-1.06841750065815,6.74189419399815,-1.48732111856548,0.154779591717469,0.999725245748249,-4.57044700620718
"58","1553016_at","ADGRF3","165082","adhesion G protein-coupled receptor F3",0.0451796675119773,4.0806083993097,0.101841041391841,0.920044139354568,0.999725245748249,-4.61876625499586
"59","1553021_s_at","BICD2","23299","BICD cargo adaptor 2",-0.399042038286126,5.51420093637109,-0.701965867715162,0.491959490502175,0.999725245748249,-4.60718841511705
"60","1553057_at","SERPINB12","89777","serpin family B member 12",0.0382563098222057,6.24472348435484,0.0617502487844351,0.951463608176934,0.999725245748249,-4.61892797485816
"61","1553059_at","PGLYRP3","114771","peptidoglycan recognition protein 3",0.228915718797402,3.81234292747367,0.55083494697412,0.588731444165613,0.999725245748249,-4.61165944176571
"62","1553062_at","MOGAT1","116255","monoacylglycerol O-acyltransferase 1",0.321150816872558,8.6119105167363,0.73931455770373,0.469546878300928,0.999725245748249,-4.60593405702213
"63","1553072_at","BNIPL","149428","BCL2 interacting protein like",0.111859662260068,5.22012709159737,0.214803212732444,0.832411453099934,0.999725245748249,-4.61788635035224
"64","1553077_at","SDR9C7","121214","short chain dehydrogenase/reductase family 9C member 7",0.288293996418855,7.01703381689899,0.499697084668366,0.623531454905851,0.999725245748249,-4.61294506133177
"65","1553081_at","WFDC12","128488","WAP four-disulfide core domain 12",0.382055200390383,9.47355408014099,0.519757118544595,0.609764643114957,0.999725245748249,-4.61245476791234
"66","1553102_a_at","CCDC69","26112","coiled-coil domain containing 69",0.119994664724057,6.12754235837151,0.293792751234622,0.772382554612391,0.999725245748249,-4.61690226627284
"67","1553112_s_at","CDK8","1024","cyclin dependent kinase 8",-0.419735107490927,5.78217879522465,-0.893946647310523,0.383516397837357,0.999725245748249,-4.6001455792162
"68","1553117_a_at","STK38","11329","serine/threonine kinase 38",-0.0345453984138802,7.43509737133664,-0.084088640695219,0.933943277336793,0.999725245748249,-4.61884762890612
"69","1553122_s_at","RBAK","57786","RB associated KRAB zinc finger",-0.709815216891338,3.06847416682731,-1.55698587441549,0.13742686499491,0.999725245748249,-4.56634644499295
"70","1553132_a_at","TC2N","123036","tandem C2 domains, nuclear",-0.707162793229007,6.57713771642893,-1.4856724496343,0.155211285593202,0.999725245748249,-4.57054280027959
"71","1553139_s_at","PLXNA3","55558","plexin A3",0.223849789973698,4.32127400718701,0.579580875046297,0.569606305747414,0.999725245748249,-4.61088549163391
"72","1553145_at","TAPT1-AS1","202020","TAPT1 antisense RNA 1 (head to head)",0.400813955018144,6.20721675969141,0.986395546710763,0.337421682337766,0.999725245748249,-4.59625150247553
"73","1553150_at","KDM1B","221656","lysine demethylase 1B",-0.108889332008902,3.12461334785474,-0.233840021581585,0.817830980587428,0.999725245748249,-4.61767676979366
"74","1553165_at","SYNRG","11276","synergin gamma",0.366511034236579,4.20101579378282,0.884440060802407,0.388484685733646,0.999725245748249,-4.60052817181904
"75","1553167_a_at","SEPSECS","51091","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase",-0.200940532173706,4.50377737174589,-0.423687514687436,0.676971036205784,0.999725245748249,-4.61463621718485
"76","1553179_at","ADAMTS19","171019","ADAM metallopeptidase with thrombospondin type 1 motif 19",0.661526210871432,3.62877056735065,1.60392246022426,0.126679186209979,0.999725245748249,-4.56352846697617
"77","1553211_at","ANKFN1","162282","ankyrin repeat and fibronectin type III domain containing 1",0.0437301561046475,5.03521505997891,0.0879487049458529,0.93091903700107,0.999725245748249,-4.61883125468315
"78","1553213_a_at","KRT78","196374","keratin 78",0.607994125582492,6.72623049148613,1.15099766652879,0.265263707283796,0.999725245748249,-4.58858630716077
"79","1553216_at","ZNF41","7592","zinc finger protein 41",-0.250395515906037,3.71635992504384,-0.51000114781931,0.616441656567404,0.999725245748249,-4.61269548841801
"80","1553219_a_at","AMMECR1","9949","AMMECR nuclear protein 1",-0.574454854548082,4.23237290378184,-0.999857865513589,0.331045481949202,0.999725245748249,-4.59565888007999
"81","1553220_at","FAM117B","150864","family with sequence similarity 117 member B",-0.367683980606659,3.7915859103234,-0.913860944401715,0.373246706384698,0.999725245748249,-4.59933317447056
"82","1553243_at","ITIH5","80760","inter-alpha-trypsin inhibitor heavy chain 5",0.302872223799536,7.42488933800272,0.670631046314739,0.511236227565366,0.999725245748249,-4.60819594579984
"83","1553269_at","ZNF718","255403","zinc finger protein 718",0.036694531484331,3.65697605859235,0.0805825786260172,0.936691068490972,0.999725245748249,-4.61886186565756
"84","1553279_at","BTNL9","153579","butyrophilin like 9",0.0854867690856844,5.71957986844063,0.205854459819697,0.839287480976319,0.999725245748249,-4.61797878725588
"85","1553292_s_at","RSKR","124923","ribosomal protein S6 kinase related",-0.155857716012838,4.59712633241501,-0.402894181762821,0.691920035054451,0.999725245748249,-4.61505236011444
"86","1553319_at","OXGR1","27199","oxoglutarate receptor 1",-0.362613584619814,3.26119088764084,-0.857521481991704,0.402782832521808,0.999725245748249,-4.60159296073518
"87","1553333_at","MAB21L3","126868","mab-21 like 3",0.0211400106480157,5.3209121341105,0.0412125905442645,0.967594371708421,0.999725245748249,-4.61898014244593
"88","1553394_a_at","TFAP2B","7021","transcription factor AP-2 beta",0.426664862843132,6.39062311196377,0.843631613710153,0.410293238287852,0.999725245748249,-4.60213155275653
