"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1320_at","PTPN21","11099","protein tyrosine phosphatase non-receptor type 21",0.189626508909143,5.95493139851667,0.569503286484589,0.576274305776837,0.999375232950731,-4.62680676625024
"2","1431_at","CYP2E1","1571","cytochrome P450 family 2 subfamily E member 1",-0.563988790347664,5.45773567521558,-1.69855316941242,0.10716465947945,0.999375232950731,-4.52434907170827
"3","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",-0.0966554795776595,8.79499124705399,-0.333894435018766,0.742438872860139,0.999375232950731,-4.63660846674344
"4","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",-0.518982601575518,7.55041409659754,-1.52393371024028,0.145445853660814,0.999375232950731,-4.54467848379586
"5","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",-0.275922185937288,6.14555412692237,-0.802967377889782,0.432796709929208,0.999375232950731,-4.61246743725498
"6","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2",0.155549381571366,4.92750705150447,0.534505367467613,0.599737795412523,0.999375232950731,-4.62856933946468
"7","1552302_at","TMEM106A","113277","transmembrane protein 106A",-0.140565802306946,4.27283493793415,-0.390583582090109,0.700832976135825,0.999375232950731,-4.63469954362461
"8","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",-0.0161128187134887,6.66873353919384,-0.0458636045547695,0.963939833151183,0.999375232950731,-4.64173439068367
"9","1552312_a_at","MFAP3","4238","microfibril associated protein 3",-0.690512593407845,5.05777202695416,-1.95770116356771,0.0664559658737484,0.999375232950731,-4.49245686447387
"10","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",0.278439810304902,6.20858108113067,1.00737701842394,0.327521275305782,0.999375232950731,-4.59650027421476
"11","1552319_a_at","KLK8","11202","kallikrein related peptidase 8",0.174945313624403,6.41802367154216,0.508603996001607,0.617400722501367,0.999375232950731,-4.62980620332098
"12","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",0.403096729844118,6.28824965761448,1.48571706504007,0.1551995902485,0.999375232950731,-4.54897140553638
"13","1552349_a_at","PRSS33","260429","serine protease 33",-0.171792612759538,3.52772254829511,-0.584044364795133,0.566665810430011,0.999375232950731,-4.62604386362112
"14","1552370_at","C4orf33","132321","chromosome 4 open reading frame 33",-0.368001733608149,6.56408586208497,-1.21832102722249,0.239320919206818,0.999375232950731,-4.57710340656227
"15","1552395_at","TSSK3","81629","testis specific serine kinase 3",-0.0619741326810503,6.54523180543142,-0.206331786798261,0.838920370734272,0.999375232950731,-4.63983075317922
"16","1552417_a_at","NEDD1","121441","NEDD1 gamma-tubulin ring complex targeting factor",-0.406415017384901,4.14465467130778,-0.973639517466257,0.343542118842355,0.999375232950731,-4.59933856574218
"17","1552463_at","SERPINB11","89778","serpin family B member 11 (gene/pseudogene)",-0.683476766173384,3.41264968709412,-2.22685646629941,0.0393928075269134,0.999375232950731,-4.45793163041912
"18","1552472_a_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-0.561469511543678,5.85950108777615,-1.67849524284065,0.111070483408146,0.999375232950731,-4.52673879294236
"19","1552486_s_at","LACTB","114294","lactamase beta",-0.201048259858895,5.17891008321179,-0.558624149685549,0.583517371618385,0.999375232950731,-4.62736583881464
"20","1552502_s_at","RHBDL2","54933","rhomboid like 2",-0.248558415648478,6.16238579061278,-0.748096895119089,0.464367068711931,0.999375232950731,-4.61622849966064
"21","1552504_a_at","BRSK1","84446","BR serine/threonine kinase 1",-0.0965883151819718,6.03163338006375,-0.333436548226612,0.742778497041028,0.999375232950731,-4.6366227011584
"22","1552516_a_at","HIPK1","204851","homeodomain interacting protein kinase 1",-0.179086606297535,5.67466779916132,-0.402424981324334,0.692258899323351,0.999375232950731,-4.63426427926625
"23","1552519_at","ACVR1C","130399","activin A receptor type 1C",0.863890780058554,5.57511083676639,1.75869449439207,0.0961554980178625,0.999375232950731,-4.517108277202
"24","1552544_at","SERPINA12","145264","serpin family A member 12",0.674305309152647,9.25926783696758,2.096408272878,0.0509129458115003,0.999375232950731,-4.47479027517666
"25","1552552_s_at","CLEC4C","170482","C-type lectin domain family 4 member C",0.04341290199228,2.96366871221799,0.148043755978508,0.884005743775293,0.999375232950731,-4.64080133110761
"26","1552553_a_at","NLRC4","58484","NLR family CARD domain containing 4",-0.201956734908396,3.54745215714263,-0.750811169759063,0.462773215489628,0.999375232950731,-4.61604793358755
"27","1552611_a_at","JAK1","3716","Janus kinase 1",-0.420035381996928,6.11871702333246,-1.09354734688461,0.289022502857237,0.999375232950731,-4.58891001313962
"28","1552613_s_at","CDC42SE2","56990","CDC42 small effector 2",-0.689962914622451,4.51923872171566,-2.22611283038973,0.0394510609845316,0.999375232950731,-4.45802822896514
"29","1552616_a_at","ACACB","32","acetyl-CoA carboxylase beta",0.351372497168017,5.19933305808174,1.28322352011045,0.216197571571844,0.999375232950731,-4.57060865391835
"30","1552619_a_at","ANLN","54443","anillin actin binding protein",-0.23948417378969,5.76548427123348,-0.732743052864278,0.47344537816891,0.999375232950731,-4.61723903462965
"31","1552620_at","SPRR4","163778","small proline rich protein 4",0.727728075539369,11.3587867221061,1.51016487135444,0.148899574314978,0.999375232950731,-4.54623215965627
"32","1552625_a_at","TRNT1","51095","tRNA nucleotidyl transferase 1",-0.331244964849991,6.17499675643085,-1.00190903978272,0.330081465074215,0.999375232950731,-4.59696550015586
"33","1552627_a_at","ARHGAP5","394","Rho GTPase activating protein 5",-0.817048521883081,4.57031151981125,-1.52993959004645,0.143960387334716,0.999375232950731,-4.54399835332817
"34","1552632_a_at","ARSG","22901","arylsulfatase G",-0.142869251726215,5.07254643784843,-0.521141306734454,0.608820138423633,0.999375232950731,-4.62921473163862
"35","1552643_at","ZNF626","199777","zinc finger protein 626",-0.29332459462753,6.10063289976415,-0.996458248722349,0.332647602435561,0.999375232950731,-4.59742726764581
"36","1552660_a_at","C5orf22","55322","chromosome 5 open reading frame 22",-0.826906745056939,4.94967141708696,-2.2041850058051,0.0412049178201488,0.999375232950731,-4.46087446730452
"37","1552662_a_at","PCDHGB7","56099","protocadherin gamma subfamily B, 7",-0.130337008739756,4.46083766433221,-0.477542852035917,0.638903332582623,0.999375232950731,-4.6312128345742
"38","1552669_at","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B",-0.0688497858014636,3.34574243899603,-0.247550541974921,0.807371940424337,0.999375232950731,-4.63895356774064
