"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1320_at","PTPN21","11099","protein tyrosine phosphatase non-receptor type 21",-0.233757923714056,5.95493139851667,-0.702042697314828,0.491912752328607,0.999162716165775,-4.61920375294477
"2","1431_at","CYP2E1","1571","cytochrome P450 family 2 subfamily E member 1",-0.487871508615766,5.45773567521558,-1.46931235408863,0.159549155031664,0.999162716165775,-4.55079520570224
"3","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12",-0.235528642627777,8.79499124705399,-0.813629019322723,0.42682249776566,0.999162716165775,-4.6117098848536
"4","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1",-0.134118772253723,7.55041409659754,-0.393824605281584,0.698482042867408,0.999162716165775,-4.63458165879611
"5","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like",0.23512121754081,6.14555412692237,0.68423155932052,0.50281699172893,0.999162716165775,-4.62030910731984
"6","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2",0.106585336127645,4.92750705150447,0.36625304246181,0.71857974245468,0.999162716165775,-4.63555437803976
"7","1552302_at","TMEM106A","113277","transmembrane protein 106A",0.108466371789666,4.27283493793415,0.301390404597945,0.766679369375207,0.999162716165775,-4.63757146847025
"8","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40",0.00741350489661308,6.66873353919384,0.0211018359350418,0.983403876274588,0.999162716165775,-4.64181256988845
"9","1552312_a_at","MFAP3","4238","microfibril associated protein 3",0.252248585559617,5.05777202695416,0.715160525923523,0.483970817216286,0.999162716165775,-4.61837341971244
"10","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1",0.502330987732326,6.20858108113067,1.81740065161521,0.0863715798458657,0.999162716165775,-4.50993892784533
"11","1552319_a_at","KLK8","11202","kallikrein related peptidase 8",-0.453693758926224,6.41802367154216,-1.31898622472549,0.204224230608581,0.999162716165775,-4.56693342071475
"12","1552330_at","CENPBD1","92806","CENPB DNA-binding domain containing 1",-0.076086256647911,6.28824965761448,-0.280435542011306,0.782441473898591,0.999162716165775,-4.63814107666922
